"Flag","Ticker","Name","Net Debt Latest","Net Profit TTM (m)","Rel Strength 3m (%)","Sector","Mkt Cap GBP (m GBP)","Spread (bps)","Avg Volume 3m","Quality Rank"
"gb","GAMA","Gamma Communications","-12.6","69.2","-11.5622855962","Telecoms","1777.17515742","10.8401084011","155333.03333333","98"
"gb","TM17","Team17","-65.199","22.107","-16.0275701055","Technology","953.1808595","138.8888888889","262843.82222222","91"
"gb","AVST","Avast","514.4","288.9","-2.7944598097","Technology","5820.052833582","14.2196942766","3399754.2333333","96"
"gb","MONY","Moneysupermarket.com","-8.8","56.7","-12.4452652729","Technology","1207.93870575","8.8849400267","1208429.9888889","97"
"gb","RMV","Rightmove","-55.681","153.114","3.052555977","Technology","6031.136583696","2.8260562385","1486971.6","95"
"gb","ELCO","Eleco","-6.391","3.444","-20.1457582383","Technology","91.05434175","273.9726027397","61044.244444444","99"
"gb","DOTD","Dotdigital","-23.64","10.978","0.0577890903","Technology","742.3153887","20.1005025126","604593.62222222","99"
"gb","FDM","Fdm (holdings)","-28.004","30.25","2.8410204882","Technology","1329.95452842","16.4068908942","136597.16666667","97"
"gb","KNOS","Kainos","-77.281","39.601","17.6932875657","Technology","2470.03372","5.0012503126","230643.25555556","99"
"gb","KWS","Keywords Studios","-43.333","30.774","1.4005177714","Technology","2245.42028464","6.7681895093","137241.05555556","95"
"gb","TUNE","Focusrite","-19.095","21.306","-2.9361907971","Technology","821.262946","142.8571428571","40525.411111111","97"
"gb","HLMA","Halma","256.2","203.4","1.4649229694","Technology","11218.6848902","3.3755274262","472704.35555556","95"
"gb","PHTM","Photo-me International","-7.078","5.961","-14.0796203212","Technology","254.023820064","180.1801801802","128716.23333333","90"
"gb","OXIG","Oxford Instruments","-90.1","41.8","-3.1668205579","Technology","1380.48908885","20.8550573514","49030.377777778","93"
"gb","SXS","Spectris","-234.4","229.8","7.8253017525","Technology","4166.77744924","5.3191489362","263714.01111111","99"
"gb","BVC","Batm Advanced Communications","-52.586","20.187","-5.4417914532","Technology","363.798586424","12.0992135511","391796.25555556","90"
"gb","CLX","Calnex Solutions","-12.102","3.453","37.0186467172","Technology","118.125","296.2962962963","224355.33333333","93"
"gb","EAH","Eco Animal Health","-18.001","8.158","-17.4530967669","Healthcare","184.5422211","183.4862385321","49134.133333333","97"
"gb","INDV","Indivior","-710","139","56.6709553034","Healthcare","1699.12705948","8.4781687156","1484239.0333333","99"
"gb","BXP","Beximco Pharmaceuticals","7975.52","4558.4503","20.9717763997","Healthcare","419.34578384","212.7659574468","28583.311111111","94"
"gb","EMIS","Emis","-41.779","28.955","3.5188661822","Healthcare","853.43761808","59.5238095238","90402.666666667","97"
"gb","ASHM","Ashmore","-805.4","240.1","-8.1198251989","Financials","2345.72280912","5.6322162771","1142986.4222222","91"
"gb","REC","Record","-19.141","5.351","-6.5748771812","Financials","162.82643785","265.3799758745","316441.25555556","99"
"gb","HL.","Hargreaves Lansdown","-484.6","296.7","-4.9754626939","Financials","7470.51834375","3.1740993493","804683.14444444","90"
"gb","JUP","Jupiter Fund Management","-334.5","123.6","-12.2491888028","Financials","1397.031431766","31.6205533597","894953.93333333","99"
"gb","JIM","Jarvis Securities","-6.98131","6.3712","-12.6404237738","Financials","128.601625","173.9130434783","46956.666666667","94"
"gb","IGG","Ig Group","-686.7","371.9","-7.5044527694","Financials","3586.92387105","6.015037594","774754.35555556","99"
"gb","TRIG","Renewables Infrastructure","-22.424","120.713","-2.2976685611","Financials","2959.247849972","15.3256704981","2949616.9444444","93"
"gb","AJB","Aj Bell","-64.9","46.689","-5.3858964579","Financials","1680.553052552","4.8863914","450119.96666667","90"
"gb","PLUS","Plus500","-714.5","345.2","4.4947015558","Financials","1480.047556675","10.2023465397","241029.33333333","90"
"gb","ALFA","Alfa Financial Software Holdings","-33.236","21.346","33.6936826913","Financials","561","159.151193634","167307.94444444","97"
"gb","TPFG","Property Franchise","8.201","4.252","-4.0739350808","Financials","97.40757664","66.889632107","25511.966666667","93"
"gb","BLV","Belvoir","4.374","6.24","-14.263362855","Financials","98.07825719","267.6864244742","108198.15555556","90"
"gb","BAG","A G Barr","-63.5","31.4","-10.5423617441","Consumer Defensives","571.3472421","19.5886385896","93282.588888889","98"
"gb","FEVR","Fevertree Drinks","-131.5","44.6","0.1754213038","Consumer Defensives","2775.01316582","4.1990342221","261047.52222222","90"
"gb","NXT","Next","1578.3","587.8","-0.5639828393","Consumer Cyclicals","10646.55592","2.4971906605","255921.7","93"
"gb","JD.","Jd Sports Fashion","1159.9","415.5","17.1209567053","Consumer Cyclicals","11234.41965261","4.5924225029","1241209.8888889","93"
"gb","BRBY","Burberry","100.8","375.7","-10.4996045012","Consumer Cyclicals","7693.737526","2.6319252533","908117.84444444","98"
"gb","DNLM","Dunelm","164.7","128.9","-4.1057706091","Consumer Cyclicals","2664.72663301","15.243902439","256248.67777778","96"
"gb","SCS","Scs","28.411","19.064","-11.1544854439","Consumer Cyclicals","98.45277645","77.2200772201","77239.211111111","91"
"gb","KGF","Kingfisher","897","831","-9.3961093869","Consumer Cyclicals","7250.673753537","2.9065542799","4773053.4333333","94"
"gb","BMY","Bloomsbury Publishing","-41.523","13.697","-8.1317484827","Consumer Cyclicals","287.26252544","280.1120448179","78387.888888889","91"
"gb","TRMR","Tremor International","-257.853","64.199","-15.3795070177","Consumer Cyclicals","1106.3132356","27.6625172891","365015.74444444","96"
"gb","888","888 Holdings","-160","16.5","3.435931493","Consumer Cyclicals","1467.259562088","5.0722799899","1199243.5888889","97"
"gb","GRG","Greggs","171.2","85.2","9.5469370905","Consumer Cyclicals","3147.7345797","6.4745872451","244158.71111111","93"
"gb","HEAD","Headlam","-15.5","18.6","-4.5633537793","Consumer Cyclicals","405.079335","42.0168067227","74215.444444444","92"
"gb","GFTU","Grafton","246.69","323.004","5.0919326512","Consumer Cyclicals","3219.090451","14.880952381","474771.41111111","95"
"gb","KGP","Kingspan","752.7","469.4","5.5781675929","Consumer Cyclicals","14687.644976084","133.8352153911","72654.488888889","91"
"gb","ECEL","Eurocell","52.3","20.5","-6.2897710833","Consumer Cyclicals","287.6712024","233.4630350195","47450.066666667","97"
"gb","JHD","James Halstead","-76.877","39.861","-4.0108258275","Consumer Cyclicals","1224.14535516","110.4972375691","50258.122222222","96"
"gb","TYMN","Tyman","146.8","51.1","-12.0478340916","Consumer Cyclicals","739.82719772","93.271152565","499711.66666667","94"
"gb","PSN","Persimmon","-1315.2","792","-7.8460126569","Consumer Cyclicals","8593.36897846","3.7126415445","606895.82222222","97"
"gb","VTY","Vistry","5.717","209.86","-1.4669029572","Consumer Cyclicals","2649.7652804","8.3857442348","440146.61111111","93"
"gb","TW.","Taylor Wimpey","-877","484.3","-9.3815263602","Consumer Cyclicals","5548.3267628315","6.5746219592","10110294.688889","94"
"gb","BDEV","Barratt Developments P L C","-1272.6","659.8","-6.9104508076","Consumer Cyclicals","6815.83892854","5.9970014993","2324689.3888889","98"
"gb","CRST","Crest Nicholson Holdings","-126.4","58.8","-11.9826553707","Consumer Cyclicals","953.689040768","10.7700592353","454301.35555556","96"
"gb","INCH","Inchcape","-102.1","74.2","-5.6346452438","Consumer Cyclicals","3130.644068475","6.1862047634","566841.3","98"
"gb","GAW","Games Workshop","-38.2","122","-9.1692995901","Consumer Cyclicals","3438.6670021","9.5283468318","59455.022222222","96"
"gb","ROR","Rotork","-144.272","95.975","-2.2069969049","Industrials","3079.81479183","22.3838836038","1530370.1","98"
"gb","QQ.","Qinetiq","-157.8","124.5","-19.3588078288","Industrials","1588.109540024","36.3768643143","825242.91111111","95"
"gb","ULE","Ultra Electronics Holdings","64.7","97.1","-0.8748267672","Industrials","2306.81553376","6.1862047634","292042.31111111","93"
"gb","IMI","Imi","335.4","180.9","-6.5736983913","Industrials","4357.144649","6.0404711568","469239.98888889","98"
"gb","MGAM","Morgan Advanced Materials","116.6","42.5","-7.587858301","Industrials","1004.50235776","14.194464159","275336.31111111","96"
"gb","SPX","Spirax-sarco Engineering","225.2","205.7","1.4327884406","Industrials","11391.48717625","3.2304958811","83297.8","94"
"gb","RSW","Renishaw","-194.997","111.459","0.4714117212","Industrials","3799.5619446","9.573958832","63374.411111111","98"
"gb","MGNS","Morgan Sindall","-287.2","75.1","-1.5495649513","Industrials","1092.0269706","21.2089077413","76645.433333333","97"
"gb","STEM","Sthree","-12.278","28.031","16.5046688317","Industrials","779.7045028","17.1379605827","352173.84444444","99"
"gb","RWA","Robert Walters","-58.4","18","22.913876485","Industrials","630.8269608","216.0864345738","70838.555555556","98"
"gb","PAGE","Pagegroup","-72.726","34.429","10.5768646791","Industrials","2188.60103484","7.5103266992","564994.5","98"
"gb","HAS","Hays","-209.5","61.5","13.2532662899","Industrials","2775.254780816","6.0514372163","3226513.6222222","95"
"gb","AFM","Alpha Financial Markets Consulting","-32.119","5.827","-0.9804872921","Industrials","389.66232684","114.9425287356","84134.622222222","92"
"gb","RMG","Royal Mail","478","620","-20.1920672403","Industrials","4248.564959184","2.3521110196","2784465.0666667","95"
"gb","MBH","Michelmersh Brick Holdings","-3.548","7.179","-7.8891762992","Basic Materials","117.606087235","242.9149797571","114347.45555556","90"
"gb","IBST","Ibstock","81.864","32.622","-6.1457570638","Basic Materials","836.467714948","9.7991180794","931465.73333333","92"
"gb","MSLH","Marshalls","52.422","47.199","-2.0186956833","Basic Materials","1462.38126767","6.8376068376","229507.1","91"
"gb","BHP","Bhp","5734","11304","-16.112687192","Basic Materials","100119.2768905","1.0102540789","5411448.1222222","96"
"gb","RIO","Rio Tinto","-3432","18766","-22.3819798187","Basic Materials","76501.99697175","7.4046649389","2472997.5333333","93"
"gb","GFM","Griffin Mining","-25.1","22.994","6.2817196548","Basic Materials","173.5182122625","150.3759398496","145115.98888889","96"
"gb","AAZ","Anglo Asian Mining","-34.579","18.208","-9.8163953753","Basic Materials","137.2704288","253.164556962","136503.46666667","91"
"gb","PLZL","Polyus Pjsc","152201","179844","4.428349697","Basic Materials","19905.076380911","5.0671395997","69095.644444444","97"
"gb","MNOD","Gmk Noril'skiy Nikel' Pao","559734","548899","-7.7645135053","Basic Materials","34979.406019904","3.0623181749","898781.07777778","98"
"gb","CAML","Central Asia Metals","10.945","56.336","1.8452776366","Basic Materials","448.86787845","58.9970501475","469683.48888889","93"
"gb","ANTO","Antofagasta","-701.3","1036.5","-4.8907927537","Basic Materials","14171.689990625","3.4788658897","1256233.1333333","92"
"gb","EVR","Evraz","3192","1540","1.0140856279","Basic Materials","9426.052918944","6.1919504644","1778521.9222222","92"
"gb","MMK","Magnitogorskiy Metallurgicheskiy Kombinat Pao","-1","1922","4.5834129697","Basic Materials","8023.4055563003","46.403712297","76501.155555556","95"
"gb","SVST","Severstal' Pao","1526","3482","-4.631209541","Basic Materials","14328.194250103","8.5070182901","312858.12222222","98"
"gb","PHOR","Phosagro Pao","126041","60315","33.1853388066","Basic Materials","7942.7005672474","7.8523753435","180403.17777778","90"
"gb","ATAD","Tatneft' Pao","-72673","152869","19.257097065","Energy","13447.395628102","12.3660346249","198706.13333333","97"
